20260630                                                                        _____________________________________________________
+S-PFBDDCOL-H       30/06/26                        84,849.28-                                                                       
+S-PFBDDCOLLA       30/06/26                     2,976,568.87-                                                                       
+S-PFBDDGEN         30/06/26                             0.00                                                                        
+S-PFBDDGP          30/06/26                             0.00                                                                        
+S-PFBDDSP          30/06/26                             0.00                                                                        
+S-PFBDDSPEC        30/06/26                             0.00                                                                        
+S-PFT CTRBAL       30/06/26                             0.00                                                                        
+S-PFT RECKAP       30/06/26                             0.00                                                                        
+S-PIBB CUR         30/06/26                     7,673,322.18                                                                        
+S-PREPAYMENT       30/06/26                     2,295,838.53                                                                        
+S-PROACCCAGT       30/06/26                             0.00                                                                        
+S-PROACCMGST       30/06/26                             0.00                                                                        
+S-PROACCPDS        30/06/26                             0.00                                                                        
+S-PROACINIDT       30/06/26                             0.00                                                                        
+S-PROCAGACCT       30/06/26                             0.00                                                                        
+S-PROV CORP        30/06/26                             0.00                                                                        
+S-PROV D ROU       30/06/26                    25,323,120.00-                                                                       
+S-PROVADVFEE       30/06/26                             0.00                                                                        
+S-PROVCLGFEE       30/06/26                       847,668.18-                                                                       
+S-PROVGRA          30/06/26                             0.00                                                                        
+S-PROVOTH          30/06/26                             0.00                                                                        
+S-PROVS            30/06/26                             0.00                                                                        
+S-PROVSD           30/06/26                             0.00                                                                        
+S-PROVTAX(C)       30/06/26                     2,955,186.50                                                                        
+S-PROVTAX(D)       30/06/26                             0.00                                                                        
+S-PROVXR           30/06/26                             0.00                                                                        
+S-QUOTEDAFS        30/06/26                             0.00                                                                        
+S-QUOTEDSH         30/06/26                             0.00                                                                        
+S-RCF              30/06/26                    36,353,900.00                                                                        
+S-REG RES          30/06/26                     6,824,239.25-                                                                       
+S-REMI CA          30/06/26                       687,468.25-                                                                       
+S-REMI FD          30/06/26                             0.00                                                                        
+S-REMI FD 30       30/06/26                             0.00                                                                        
+S-REMI FD 32       30/06/26                             0.00                                                                        
+S-REMISIERFD       30/06/26                             0.00                                                                        
+S-REMISIERS        30/06/26                             0.00                                                                        
+S-RENO             30/06/26                     3,760,420.68                                                                        
+S-REPOMGS          30/06/26                             0.00                                                                        
+S-RETPROF          30/06/26                   262,989,655.78-                                                                       
+S-REVCRE           30/06/26                   119,696,100.00                                                                        
+S-REVREAFMGS       30/06/26                             0.00                                                                        
+S-REVREPBNM1       30/06/26                             0.00                                                                        
+S-REVREPBNM2       30/06/26                             0.00                                                                        
+S-REVREPOBNM       30/06/26                             0.00                                                                        
+S-REVREPOHFT       30/06/26                             0.00                                                                        
+S-REVREPOMGI       30/06/26                             0.00                                                                        
+S-REVREPOMGS       30/06/26                             0.00                                                                        
+S-REVRES           30/06/26                     1,882,621.98                                                                        
+S-ROU ASSET        30/06/26                    47,434,076.99                                                                        
+S-SHARE            30/06/26                   170,000,000.00-                                                                       
+S-SM F             30/06/26                   200,880,964.21                                                                        
+S-SNCD             30/06/26                             0.00                                                                        
+S-SNIDZEROCO       30/06/26                             0.00                                                                        
+S-SSTPAY           30/06/26                       719,434.68-                                                                       
+S-STA RES          30/06/26                             0.00                                                                        
+S-STADEPBNM        30/06/26                    21,119,000.00                                                                        
+S-STAFFLN          30/06/26                             0.00                                                                        
+S-STAFFSP          30/06/26                             0.00                                                                        
+S-STD R/NR         30/06/26                   678,424,952.78-                                                                       
+S-STD&NETNID       30/06/26                             0.00                                                                        
+S-SUNCRE           30/06/26                    18,586,012.21-                                                                       
+S-SUNCRE KAP       30/06/26                        55,693.19-                                                                       
+S-SUNDEBT          30/06/26                     1,897,768.96                                                                        
+S-SUNDEBTREC       30/06/26                             0.00                                                                        
+S-SUNDEP           30/06/26                       735,118.00                                                                        
+S-TAXREBATE        30/06/26                             0.00                                                                        
+S-TERMLN           30/06/26                   438,814,254.01                                                                        
+S-TLF              30/06/26                   250,737,245.49                                                                        
+S-TRE IRIADV       30/06/26                             0.00                                                                        
+S-TRE(A)           30/06/26                             0.00                                                                        
+S-TREASBILL        30/06/26                             0.00                                                                        
+S-U/W OBLI         30/06/26                             0.00                                                                        
